purity	dp	power	k	ploidy	error_rate
0.1	1	0.0	2	1.0	0.001
0.1	2	0.00277	2	1.0	0.001
0.1	3	0.00802	2	1.0	0.001
0.1	4	0.00097	3	1.0	0.001
0.1	5	0.00193	3	1.0	0.001
0.1	6	0.00333	3	1.0	0.001
0.1	7	0.00523	3	1.0	0.001
0.1	8	0.00768	3	1.0	0.001
0.1	9	0.01074	3	1.0	0.001
0.1	10	0.01442	3	1.0	0.001
0.1	11	0.01875	3	1.0	0.001
0.1	12	0.02374	3	1.0	0.001
0.1	13	0.0294	3	1.0	0.001
0.1	14	0.03571	3	1.0	0.001
0.1	15	0.04267	3	1.0	0.001
0.1	16	0.05027	3	1.0	0.001
0.1	17	0.05848	3	1.0	0.001
0.1	18	0.0673	3	1.0	0.001
0.1	19	0.07668	3	1.0	0.001
0.1	20	0.08661	3	1.0	0.001
0.1	21	0.09705	3	1.0	0.001
0.1	22	0.10799	3	1.0	0.001
0.1	23	0.11937	3	1.0	0.001
0.1	24	0.13119	3	1.0	0.001
0.1	25	0.14339	3	1.0	0.001
0.1	26	0.15596	3	1.0	0.001
0.1	27	0.16885	3	1.0	0.001
0.1	28	0.18204	3	1.0	0.001
0.1	29	0.19549	3	1.0	0.001
0.1	30	0.20918	3	1.0	0.001
0.1	31	0.22307	3	1.0	0.001
0.1	32	0.23714	3	1.0	0.001
0.1	33	0.25135	3	1.0	0.001
0.1	34	0.26569	3	1.0	0.001
0.1	35	0.28011	3	1.0	0.001
0.1	36	0.29461	3	1.0	0.001
0.1	37	0.30915	3	1.0	0.001
0.1	38	0.32371	3	1.0	0.001
0.1	39	0.33828	3	1.0	0.001
0.1	40	0.35282	3	1.0	0.001
0.1	41	0.36732	3	1.0	0.001
0.1	42	0.38176	3	1.0	0.001
0.1	43	0.39613	3	1.0	0.001
0.1	44	0.41041	3	1.0	0.001
0.1	45	0.33081	4	1.0	0.001
0.1	46	0.33844	4	1.0	0.001
0.1	47	0.34628	4	1.0	0.001
0.1	48	0.3543	4	1.0	0.001
0.1	49	0.36249	4	1.0	0.001
0.1	50	0.37085	4	1.0	0.001
0.1	51	0.37936	4	1.0	0.001
0.1	52	0.38802	4	1.0	0.001
0.1	53	0.3968	4	1.0	0.001
0.1	54	0.40571	4	1.0	0.001
0.1	55	0.41472	4	1.0	0.001
0.1	56	0.42383	4	1.0	0.001
0.1	57	0.43302	4	1.0	0.001
0.1	58	0.44229	4	1.0	0.001
0.1	59	0.45162	4	1.0	0.001
0.1	60	0.461	4	1.0	0.001
0.1	61	0.47042	4	1.0	0.001
0.1	62	0.47986	4	1.0	0.001
0.1	63	0.48933	4	1.0	0.001
0.1	64	0.49881	4	1.0	0.001
0.1	65	0.50828	4	1.0	0.001
0.1	66	0.51775	4	1.0	0.001
0.1	67	0.5272	4	1.0	0.001
0.1	68	0.53662	4	1.0	0.001
0.1	69	0.546	4	1.0	0.001
0.1	70	0.55534	4	1.0	0.001
0.1	71	0.56463	4	1.0	0.001
0.1	72	0.57387	4	1.0	0.001
0.1	73	0.58303	4	1.0	0.001
0.1	74	0.59213	4	1.0	0.001
0.1	75	0.60115	4	1.0	0.001
0.1	76	0.61009	4	1.0	0.001
0.1	77	0.61894	4	1.0	0.001
0.1	78	0.62769	4	1.0	0.001
0.1	79	0.63635	4	1.0	0.001
0.1	80	0.64491	4	1.0	0.001
0.1	81	0.65336	4	1.0	0.001
0.1	82	0.66171	4	1.0	0.001
0.1	83	0.66994	4	1.0	0.001
0.1	84	0.67805	4	1.0	0.001
0.1	85	0.68605	4	1.0	0.001
0.1	86	0.69392	4	1.0	0.001
0.1	87	0.70168	4	1.0	0.001
0.1	88	0.7093	4	1.0	0.001
0.1	89	0.71681	4	1.0	0.001
0.1	90	0.72418	4	1.0	0.001
0.1	91	0.73143	4	1.0	0.001
0.1	92	0.73854	4	1.0	0.001
0.1	93	0.74553	4	1.0	0.001
0.1	94	0.75238	4	1.0	0.001
0.1	95	0.7591	4	1.0	0.001
0.1	96	0.7657	4	1.0	0.001
0.1	97	0.77215	4	1.0	0.001
0.1	98	0.77848	4	1.0	0.001
0.1	99	0.78468	4	1.0	0.001
0.2	1	0.0	2	1.0	0.001
0.2	2	0.01235	2	1.0	0.001
0.2	3	0.0343	2	1.0	0.001
0.2	4	0.00869	3	1.0	0.001
0.2	5	0.01641	3	1.0	0.001
0.2	6	0.02695	3	1.0	0.001
0.2	7	0.04043	3	1.0	0.001
0.2	8	0.05683	3	1.0	0.001
0.2	9	0.07602	3	1.0	0.001
0.2	10	0.09777	3	1.0	0.001
0.2	11	0.12181	3	1.0	0.001
0.2	12	0.14783	3	1.0	0.001
0.2	13	0.17552	3	1.0	0.001
0.2	14	0.20456	3	1.0	0.001
0.2	15	0.23465	3	1.0	0.001
0.2	16	0.26548	3	1.0	0.001
0.2	17	0.29679	3	1.0	0.001
0.2	18	0.32833	3	1.0	0.001
0.2	19	0.35985	3	1.0	0.001
0.2	20	0.39117	3	1.0	0.001
0.2	21	0.4221	3	1.0	0.001
0.2	22	0.45249	3	1.0	0.001
0.2	23	0.48221	3	1.0	0.001
0.2	24	0.51115	3	1.0	0.001
0.2	25	0.53922	3	1.0	0.001
0.2	26	0.56634	3	1.0	0.001
0.2	27	0.59246	3	1.0	0.001
0.2	28	0.61754	3	1.0	0.001
0.2	29	0.64156	3	1.0	0.001
0.2	30	0.66449	3	1.0	0.001
0.2	31	0.68634	3	1.0	0.001
0.2	32	0.70711	3	1.0	0.001
0.2	33	0.72681	3	1.0	0.001
0.2	34	0.74545	3	1.0	0.001
0.2	35	0.76306	3	1.0	0.001
0.2	36	0.77967	3	1.0	0.001
0.2	37	0.7953	3	1.0	0.001
0.2	38	0.81	3	1.0	0.001
0.2	39	0.82379	3	1.0	0.001
0.2	40	0.83672	3	1.0	0.001
0.2	41	0.84882	3	1.0	0.001
0.2	42	0.86013	3	1.0	0.001
0.2	43	0.87069	3	1.0	0.001
0.2	44	0.88054	3	1.0	0.001
0.2	45	0.92594	4	1.0	0.001
0.2	46	0.92561	4	1.0	0.001
0.2	47	0.92585	4	1.0	0.001
0.2	48	0.92659	4	1.0	0.001
0.2	49	0.92774	4	1.0	0.001
0.2	50	0.92923	4	1.0	0.001
0.2	51	0.93101	4	1.0	0.001
0.2	52	0.93301	4	1.0	0.001
0.2	53	0.9352	4	1.0	0.001
0.2	54	0.93752	4	1.0	0.001
0.2	55	0.93994	4	1.0	0.001
0.2	56	0.94242	4	1.0	0.001
0.2	57	0.94494	4	1.0	0.001
0.2	58	0.94748	4	1.0	0.001
0.2	59	0.95	4	1.0	0.001
0.2	60	0.95251	4	1.0	0.001
0.2	61	0.95497	4	1.0	0.001
0.2	62	0.95738	4	1.0	0.001
0.2	63	0.95972	4	1.0	0.001
0.2	64	0.962	4	1.0	0.001
0.2	65	0.9642	4	1.0	0.001
0.2	66	0.96632	4	1.0	0.001
0.2	67	0.96836	4	1.0	0.001
0.2	68	0.97031	4	1.0	0.001
0.2	69	0.97217	4	1.0	0.001
0.2	70	0.97395	4	1.0	0.001
0.2	71	0.97564	4	1.0	0.001
0.2	72	0.97724	4	1.0	0.001
0.2	73	0.97876	4	1.0	0.001
0.2	74	0.98019	4	1.0	0.001
0.2	75	0.98154	4	1.0	0.001
0.2	76	0.98282	4	1.0	0.001
0.2	77	0.98402	4	1.0	0.001
0.2	78	0.98515	4	1.0	0.001
0.2	79	0.98621	4	1.0	0.001
0.2	80	0.9872	4	1.0	0.001
0.2	81	0.98813	4	1.0	0.001
0.2	82	0.989	4	1.0	0.001
0.2	83	0.98982	4	1.0	0.001
0.2	84	0.99057	4	1.0	0.001
0.2	85	0.99128	4	1.0	0.001
0.2	86	0.99194	4	1.0	0.001
0.2	87	0.99255	4	1.0	0.001
0.2	88	0.99312	4	1.0	0.001
0.2	89	0.99365	4	1.0	0.001
0.2	90	0.99415	4	1.0	0.001
0.2	91	0.9946	4	1.0	0.001
0.2	92	0.99503	4	1.0	0.001
0.2	93	0.99542	4	1.0	0.001
0.2	94	0.99578	4	1.0	0.001
0.2	95	0.99612	4	1.0	0.001
0.2	96	0.99643	4	1.0	0.001
0.2	97	0.99672	4	1.0	0.001
0.2	98	0.99698	4	1.0	0.001
0.2	99	0.99723	4	1.0	0.001
0.3	1	0.0	2	1.0	0.001
0.3	2	0.03116	2	1.0	0.001
0.3	3	0.08245	2	1.0	0.001
0.3	4	0.03266	3	1.0	0.001
0.3	5	0.05821	3	1.0	0.001
0.3	6	0.09054	3	1.0	0.001
0.3	7	0.12899	3	1.0	0.001
0.3	8	0.17246	3	1.0	0.001
0.3	9	0.21969	3	1.0	0.001
0.3	10	0.26942	3	1.0	0.001
0.3	11	0.32046	3	1.0	0.001
0.3	12	0.37174	3	1.0	0.001
0.3	13	0.42239	3	1.0	0.001
0.3	14	0.47168	3	1.0	0.001
0.3	15	0.51904	3	1.0	0.001
0.3	16	0.56407	3	1.0	0.001
0.3	17	0.60648	3	1.0	0.001
0.3	18	0.64608	3	1.0	0.001
0.3	19	0.6828	3	1.0	0.001
0.3	20	0.71662	3	1.0	0.001
0.3	21	0.74759	3	1.0	0.001
0.3	22	0.7758	3	1.0	0.001
0.3	23	0.80138	3	1.0	0.001
0.3	24	0.82447	3	1.0	0.001
0.3	25	0.84522	3	1.0	0.001
0.3	26	0.86382	3	1.0	0.001
0.3	27	0.88042	3	1.0	0.001
0.3	28	0.8952	3	1.0	0.001
0.3	29	0.90831	3	1.0	0.001
0.3	30	0.91992	3	1.0	0.001
0.3	31	0.93017	3	1.0	0.001
0.3	32	0.9392	3	1.0	0.001
0.3	33	0.94714	3	1.0	0.001
0.3	34	0.95411	3	1.0	0.001
0.3	35	0.96021	3	1.0	0.001
0.3	36	0.96554	3	1.0	0.001
0.3	37	0.97019	3	1.0	0.001
0.3	38	0.97424	3	1.0	0.001
0.3	39	0.97777	3	1.0	0.001
0.3	40	0.98083	3	1.0	0.001
0.3	41	0.98349	3	1.0	0.001
0.3	42	0.98579	3	1.0	0.001
0.3	43	0.98778	3	1.0	0.001
0.3	44	0.9895	3	1.0	0.001
0.3	45	1.01706	4	1.0	0.001
0.3	46	1.01341	4	1.0	0.001
0.3	47	1.01046	4	1.0	0.001
0.3	48	1.00809	4	1.0	0.001
0.3	49	1.00619	4	1.0	0.001
0.3	50	1.00468	4	1.0	0.001
0.3	51	1.00348	4	1.0	0.001
0.3	52	1.00254	4	1.0	0.001
0.3	53	1.0018	4	1.0	0.001
0.3	54	1.00123	4	1.0	0.001
0.3	55	1.00079	4	1.0	0.001
0.3	56	1.00045	4	1.0	0.001
0.3	57	1.0002	4	1.0	0.001
0.3	58	1.00002	4	1.0	0.001
0.3	59	0.99989	4	1.0	0.001
0.3	60	0.9998	4	1.0	0.001
0.3	61	0.99974	4	1.0	0.001
0.3	62	0.9997	4	1.0	0.001
0.3	63	0.99968	4	1.0	0.001
0.3	64	0.99967	4	1.0	0.001
0.3	65	0.99968	4	1.0	0.001
0.3	66	0.99969	4	1.0	0.001
0.3	67	0.9997	4	1.0	0.001
0.3	68	0.99972	4	1.0	0.001
0.3	69	0.99974	4	1.0	0.001
0.3	70	0.99976	4	1.0	0.001
0.3	71	0.99978	4	1.0	0.001
0.3	72	0.9998	4	1.0	0.001
0.3	73	0.99982	4	1.0	0.001
0.3	74	0.99984	4	1.0	0.001
0.3	75	0.99986	4	1.0	0.001
0.3	76	0.99987	4	1.0	0.001
0.3	77	0.99989	4	1.0	0.001
0.3	78	0.9999	4	1.0	0.001
0.3	79	0.99991	4	1.0	0.001
0.3	80	0.99992	4	1.0	0.001
0.3	81	0.99993	4	1.0	0.001
0.3	82	0.99994	4	1.0	0.001
0.3	83	0.99995	4	1.0	0.001
0.3	84	0.99995	4	1.0	0.001
0.3	85	0.99996	4	1.0	0.001
0.3	86	0.99997	4	1.0	0.001
0.3	87	0.99997	4	1.0	0.001
0.3	88	0.99997	4	1.0	0.001
0.3	89	0.99998	4	1.0	0.001
0.3	90	0.99998	4	1.0	0.001
0.3	91	0.99998	4	1.0	0.001
0.3	92	0.99999	4	1.0	0.001
0.3	93	0.99999	4	1.0	0.001
0.3	94	0.99999	4	1.0	0.001
0.3	95	0.99999	4	1.0	0.001
0.3	96	0.99999	4	1.0	0.001
0.3	97	0.99999	4	1.0	0.001
0.3	98	0.99999	4	1.0	0.001
0.3	99	0.99999	4	1.0	0.001
0.4	1	0.0	2	1.0	0.001
0.4	2	0.06254	2	1.0	0.001
0.4	3	0.15627	2	1.0	0.001
0.4	4	0.08595	3	1.0	0.001
0.4	5	0.14308	3	1.0	0.001
0.4	6	0.20898	3	1.0	0.001
0.4	7	0.28064	3	1.0	0.001
0.4	8	0.35476	3	1.0	0.001
0.4	9	0.42841	3	1.0	0.001
0.4	10	0.49928	3	1.0	0.001
0.4	11	0.56572	3	1.0	0.001
0.4	12	0.62669	3	1.0	0.001
0.4	13	0.68166	3	1.0	0.001
0.4	14	0.73048	3	1.0	0.001
0.4	15	0.77328	3	1.0	0.001
0.4	16	0.8104	3	1.0	0.001
0.4	17	0.84228	3	1.0	0.001
0.4	18	0.86943	3	1.0	0.001
0.4	19	0.89238	3	1.0	0.001
0.4	20	0.91166	3	1.0	0.001
0.4	21	0.92776	3	1.0	0.001
0.4	22	0.94112	3	1.0	0.001
0.4	23	0.95216	3	1.0	0.001
0.4	24	0.96125	3	1.0	0.001
0.4	25	0.9687	3	1.0	0.001
0.4	26	0.97478	3	1.0	0.001
0.4	27	0.97972	3	1.0	0.001
0.4	28	0.98374	3	1.0	0.001
0.4	29	0.98698	3	1.0	0.001
0.4	30	0.9896	3	1.0	0.001
0.4	31	0.99171	3	1.0	0.001
0.4	32	0.9934	3	1.0	0.001
0.4	33	0.99475	3	1.0	0.001
0.4	34	0.99584	3	1.0	0.001
0.4	35	0.9967	3	1.0	0.001
0.4	36	0.99739	3	1.0	0.001
0.4	37	0.99794	3	1.0	0.001
0.4	38	0.99837	3	1.0	0.001
0.4	39	0.99872	3	1.0	0.001
0.4	40	0.99899	3	1.0	0.001
0.4	41	0.99921	3	1.0	0.001
0.4	42	0.99938	3	1.0	0.001
0.4	43	0.99951	3	1.0	0.001
0.4	44	0.99962	3	1.0	0.001
0.4	45	1.00266	4	1.0	0.001
0.4	46	1.002	4	1.0	0.001
0.4	47	1.0015	4	1.0	0.001
0.4	48	1.00112	4	1.0	0.001
0.4	49	1.00084	4	1.0	0.001
0.4	50	1.00062	4	1.0	0.001
0.4	51	1.00046	4	1.0	0.001
0.4	52	1.00034	4	1.0	0.001
0.4	53	1.00025	4	1.0	0.001
0.4	54	1.00019	4	1.0	0.001
0.4	55	1.00014	4	1.0	0.001
0.4	56	1.0001	4	1.0	0.001
0.4	57	1.00007	4	1.0	0.001
0.4	58	1.00005	4	1.0	0.001
0.4	59	1.00004	4	1.0	0.001
0.4	60	1.00003	4	1.0	0.001
0.4	61	1.00002	4	1.0	0.001
0.4	62	1.00002	4	1.0	0.001
0.4	63	1.00001	4	1.0	0.001
0.4	64	1.00001	4	1.0	0.001
0.4	65	1.00001	4	1.0	0.001
0.4	66	1.0	4	1.0	0.001
0.4	67	1.0	4	1.0	0.001
0.4	68	1.0	4	1.0	0.001
0.4	69	1.0	4	1.0	0.001
0.4	70	1.0	4	1.0	0.001
0.4	71	1.0	4	1.0	0.001
0.4	72	1.0	4	1.0	0.001
0.4	73	1.0	4	1.0	0.001
0.4	74	1.0	4	1.0	0.001
0.4	75	1.0	4	1.0	0.001
0.4	76	1.0	4	1.0	0.001
0.4	77	1.0	4	1.0	0.001
0.4	78	1.0	4	1.0	0.001
0.4	79	1.0	4	1.0	0.001
0.4	80	1.0	4	1.0	0.001
0.4	81	1.0	4	1.0	0.001
0.4	82	1.0	4	1.0	0.001
0.4	83	1.0	4	1.0	0.001
0.4	84	1.0	4	1.0	0.001
0.4	85	1.0	4	1.0	0.001
0.4	86	1.0	4	1.0	0.001
0.4	87	1.0	4	1.0	0.001
0.4	88	1.0	4	1.0	0.001
0.4	89	1.0	4	1.0	0.001
0.4	90	1.0	4	1.0	0.001
0.4	91	1.0	4	1.0	0.001
0.4	92	1.0	4	1.0	0.001
0.4	93	1.0	4	1.0	0.001
0.4	94	1.0	4	1.0	0.001
0.4	95	1.0	4	1.0	0.001
0.4	96	1.0	4	1.0	0.001
0.4	97	1.0	4	1.0	0.001
0.4	98	1.0	4	1.0	0.001
0.4	99	1.0	4	1.0	0.001
0.5	1	0.0	2	1.0	0.001
0.5	2	0.11118	2	1.0	0.001
0.5	3	0.2593	2	1.0	0.001
0.5	4	0.18521	3	1.0	0.001
0.5	5	0.28397	3	1.0	0.001
0.5	6	0.38545	3	1.0	0.001
0.5	7	0.48417	3	1.0	0.001
0.5	8	0.57558	3	1.0	0.001
0.5	9	0.65683	3	1.0	0.001
0.5	10	0.72671	3	1.0	0.001
